condition,condition_label,checkpoint,target_tokens,actual_cumulative_tokens,pt_bpb,english_bpb,grammar_mean_margin,grammar_margin_ci_low,grammar_margin_ci_high,grammar_accuracy,grammar_examples,source_summary
shuffled_pt,token-shuffled PT,tokens_005000000,5000000,5001216,7.314746631585504,4.5682357243940315,-1.768958854675293,-4.086085782051086,0.4328996515274045,0.4,10,results/02_final_training/final_training_20260620T053855Z/conditions/shuffled_pt/condition_summary.json
shuffled_pt,token-shuffled PT,tokens_008000000,8000000,8003584,8.057754561969649,5.145446840108829,1.1275129318237305,-3.6532814693450923,7.815993123054501,0.4,10,results/02_final_training/final_training_20260620T053855Z/conditions/shuffled_pt/condition_summary.json
matched_en,matched English,tokens_000000000,0,0,6.77354166271754,2.7175759834284365,0.45546588897705076,-2.6150027561187743,3.993387947082518,0.4,10,results/02_final_training/final_training_20260620T053855Z/conditions/matched_en/condition_summary.json
matched_en,matched English,tokens_000025000,25000,28672,5.8568677043847615,2.465092151072671,0.2026926040649414,-0.6309753513336182,1.0966857719421386,0.5,10,results/02_final_training/final_training_20260620T053855Z/conditions/matched_en/condition_summary.json
matched_en,matched English,tokens_000050000,50000,53248,5.894149896354379,2.3960434982566103,0.3170005798339844,-0.039628858566284175,0.6797713565826414,0.6,10,results/02_final_training/final_training_20260620T053855Z/conditions/matched_en/condition_summary.json
matched_en,matched English,tokens_000100000,100000,102400,6.324195660853115,2.6588513192311396,1.0463927268981934,-0.4327110481262207,2.504627609252929,0.5,10,results/02_final_training/final_training_20260620T053855Z/conditions/matched_en/condition_summary.json
matched_en,matched English,tokens_000200000,200000,200704,6.808506355608959,2.988086817809896,2.7844054222106935,0.5968934059143066,4.9885225844383205,0.7,10,results/02_final_training/final_training_20260620T053855Z/conditions/matched_en/condition_summary.json
matched_en,matched English,tokens_000400000,400000,401408,7.704588054427068,3.2550871652080886,3.6131863594055176,1.476663773059845,5.883084189891814,0.8,10,results/02_final_training/final_training_20260620T053855Z/conditions/matched_en/condition_summary.json
matched_en,matched English,tokens_000800000,800000,802816,7.872722284292728,3.337143161409427,3.1059977531433107,0.9296128606796265,5.247179870605468,0.7,10,results/02_final_training/final_training_20260620T053855Z/conditions/matched_en/condition_summary.json
matched_en,matched English,tokens_001500000,1500000,1503232,7.838246695314414,3.3507725771493866,3.2986284255981446,0.8081057262420654,5.78998701095581,0.7,10,results/02_final_training/final_training_20260620T053855Z/conditions/matched_en/condition_summary.json
matched_en,matched English,tokens_003000000,3000000,3002368,7.926134401149672,3.3880700366332905,3.4196823120117186,0.5240384197235107,6.265605888366696,0.7,10,results/02_final_training/final_training_20260620T053855Z/conditions/matched_en/condition_summary.json
matched_en,matched English,tokens_005000000,5000000,5001216,8.029118020243883,3.4066153748481494,3.7610404014587404,0.256837272644043,7.58782943964004,0.7,10,results/02_final_training/final_training_20260620T053855Z/conditions/matched_en/condition_summary.json
matched_en,matched English,tokens_008000000,8000000,8003584,8.793502745949624,3.865956703291504,-2.6043817520141603,-8.413540124893188,2.569104995727538,0.4,10,results/02_final_training/final_training_20260620T053855Z/conditions/matched_en/condition_summary.json
